HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis,car_avail,bike_avail,choice,total_trip_time,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
219647CR9,219647,722,103.8467512,1.315088737,Private flat/condo,660.7916124,3423,34,3157.43876784,65144.4043321,120.0,1623760.0,13531.3333333333,219647CR9_1,Chinese,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Wholesale and Retail Trade,Refused,28.125,637766.0,722,31.1393,1.0,0.0,1,1.0,31139.3,16.548313714285715,1.0,1.85726365,2.0646949955099996,3.3085673525582644,0.0,7.029187358916479,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
219849CR5,219849,723,103.8488412,1.312632695,Private flat/condo,615.8724783,3107,36,3504.55624238,65144.4043321,97.0,1142401.33333333,11777.3333333333,219849CR5_4,Chinese,4,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",Refused,28.125,569814.0,723,9.579,1.0,0.0,2,0.8833333333333333,9579.0,5.090554285714286,0.21286666666666668,0.8833333333333333,1.433372759,1.0177738956930829,0.0,2.1623024830699777,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
228149AO,228149,724,103.8498248,1.301689583,Private flat/condo,330.3376321,1903,260,4651.91109103,69082.8180041,97.0,2672867.33333333,27555.3333333333,228149AO_3,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,17.1875,190464.0,724,2.8148,0.0,1.0,4,0.0,2814.8,1.495865142857143,0.06255111111111111,0.3639330666666667,1.0437129009600001,0.29907401206774087,0.0,0.6353950338600451,0.0,2500.0,3333.3333333333335,0.035,16.666666666666664,2724.5833333333335
228519AO,228519,725,103.8355784,1.308595379,Private flat/condo,611.2245948,3332,35,3531.01362475,69082.8180041,120.0,2429120.0,20242.6666666667,228519AO_1,Others,6,55-74 yrs,Permanent Resident,Male,Employed Full-time,Professional,Wholesale and Retail Trade,$6000-$6999,40.625,738972.0,725,26.1222,1.0,0.0,1,0.9833333333333333,26122.2,13.882083428571429,0.9833333333333333,1.5927509888888889,2.0007846671599996,2.775497782448465,0.0,5.89665914221219,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,6232.5
229516AR1,229516,726,103.8403742,1.308432208,Private flat/condo,528.325634,3012,84,3625.82908383,69082.8180041,97.0,1607031.33333333,16567.3333333333,229516AR1_1,Others,2,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,28.125,199555.0,726,4.0615,0.0,0.0,2,1.6833333333333333,4061.5,2.158397142857143,0.09025555555555555,1.6833333333333333,1.12240921775,0.4315365567760158,0.0,0.9168171557562077,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
238257AR1,238257,727,103.8365672,1.290938251,Private flat/condo,857.4770741,2077,46,5323.17762334,69082.8180041,97.0,2269412.0,23396.0,238257AR1_2,Chinese,3,35-54 yrs,Employemnt pass,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$5000-$5999,34.375,159308.0,727,4.7311000000000005,1.0,0.0,1,0.2,4731.1,2.5142417142857147,0.2,0.4649646611111112,1.1633936927900002,0.5026819164749499,0.0,1.0679683972911966,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,5302.5
238363CR5,238363,728,103.8340517,1.294826742,Private flat/condo,781.1164563,2498,34,4820.15807549,69082.8180041,97.0,1900197.66666667,19589.6666666667,238363CR5_1,Chinese,2,55-74 yrs,Singapore Citizen,Male,Employed Full-time,"Legislator,senior official & manager",Construction,$8000 and above,56.25,128371.0,728,14.2644,1.0,0.0,1,0.5166666666666667,14264.4,7.580509714285715,0.5166666666666667,0.9675814222222222,1.64963489264,1.5156001626186877,0.0,3.219954853273138,0.0,6666.666666666667,10000.0,0.115,279.16666666666674,8452.5
238428AO,238428,729,103.8369189,1.295354026,Private flat/condo,573.501884,2243,35,4891.13530166,69082.8180041,120.0,1834920.0,15291.0,238428AO_2,Others,5,15-34 yrs,Employemnt pass,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$6000-$6999,40.625,207731.0,729,4.8421,0.0,0.0,2,0.45,4842.1,2.5732302857142857,0.10760222222222222,0.45,1.17010106759,0.5144757261024613,0.0,1.0930248306997743,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,6232.5
238428CO,238428,730,103.8369189,1.295354026,Private flat/condo,573.501884,2243,35,4891.13530166,69082.8180041,97.0,1483227.0,15291.0,238428CO_2,Chinese,2,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$6000-$6999,40.625,98585.0,730,4.9444,1.0,0.0,1,0.31666666666666665,4944.4,2.6275954285714285,0.31666666666666665,0.47621031111111106,1.17626090864,0.525345156056465,0.0,1.116117381489842,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,6232.5
238429CR6,238429,731,103.8376994,1.29476091,Private flat/condo,617.8629747,2135,54,4987.41798121,69082.8180041,97.0,1501269.0,15477.0,238429CR6_2,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$8000 and above,56.25,169608.0,731,2.6113000000000004,1.0,0.0,1,0.23333333333333334,2611.3,1.387719428571429,0.23333333333333334,0.35320409444444445,1.03057211231,0.27745202775063654,0.0,0.5894582392776525,0.0,6666.666666666667,10000.0,0.115,279.16666666666674,8452.5
