HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis
600323AR4,600323,4617,103.7289863,1.348409398,HDB 5-room,773.7140917,15606,28,5904.92957788,58646.4208243,117.53,660557.776666667,5620.33333333333,600323AR4_1,Indian,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,307987.0,4617,15.5896
600323BO,600323,4618,103.7289863,1.348409398,HDB 5-room,773.7140917,15606,28,5904.92957788,58646.4208243,117.53,660557.776666667,5620.33333333333,600323BO_1,Chinese,6,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,Construction,$4000-$4999,4500.0,609601.0,4618,3.3929
600323CO,600323,4619,103.7289863,1.348409398,HDB 5-room,773.7140917,15606,28,5904.92957788,58646.4208243,117.53,660557.776666667,5620.33333333333,600323CO_1,Chinese,5,55-74 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Wholesale and Retail Trade,$6000-$6999,6500.0,609927.0,4619,3.7447
600323CR5,600323,4620,103.7289863,1.348409398,HDB 5-room,773.7140917,15606,28,5904.92957788,58646.4208243,117.53,660557.776666667,5620.33333333333,600323CR5_3,Chinese,3,15-34 yrs,Singapore Citizen,Male,Self-employed,Service & sales worker,"Financial Services (e.g. financial, insurance)",Refused,4500.0,528799.0,4620,30.3427
600323DO,600323,4621,103.7289863,1.348409398,HDB 5-room,773.7140917,15606,28,5904.92957788,58646.4208243,117.53,660557.776666667,5620.33333333333,600323DO_2,Chinese,5,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Professional,Wholesale and Retail Trade,$3000-$3999,3500.0,629575.0,4621,11.6753
600324AO,600324,4622,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324AO_3,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",Refused,4500.0,18989.0,4622,20.992900000000002
600324AR2,600324,4623,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324AR2_1,Chinese,3,55-74 yrs,Singapore Citizen,Female,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",$3000-$3999,3500.0,119077.0,4623,9.5163
600324BO,600324,4624,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324BO_1,Chinese,2,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Manufacturing,$3000-$3999,3500.0,349249.0,4624,21.054
600324BR8,600324,4625,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324BR8_2,Chinese,3,55-74 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Financial Services (e.g. financial, insurance)",$2500-$2999,2750.0,629888.0,4625,12.7533
600324CO,600324,4626,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324CO_3,Chinese,3,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Professional,Manufacturing,Refused,4500.0,609917.0,4626,4.7355
