home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis,choice,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
1232,male,31~40,Bachelor,With Partner and Children,1 ~ 2万元,93.75,自行车/电动自行车,1625040.4,2266.551419,91,26208.88325,56075,22836.0368143,10955.8342459,410,4,1232,12.0042856208,3,12004.2856208,14.774505379446152,0.40014285402666666,0.8322266465829412,5.0,1.20042856208,0.0,2.709771020496614,0.0,12000,25000.0,0.2,990.0,13410.0
1233,female,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,自行车/电动自行车,1818491.4,781.0122102,41,17078.62479,93478,13967.8640249,3684.59002396,698,47,1233,2.30184002478,3,2301.84002478,2.833033876652308,0.07672800082600001,0.47758608930575025,3.0,0.23018400247800003,0.0,0.5196027143972912,0.0,12000,25000.0,0.2,990.0,13410.0
1234,male,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,地铁,670226.7,1225.833125,72,17303.45024,93478,13745.2364314,2449.01626811,557,48,1234,0.849647036347,2,849.647036347,1.045719429350154,0.028321567878233332,0.42450601525687676,3.0,0.0849647036347,0.0,0.191793913396614,0.0,3000,12000.0,0.1,90.0,7860.0
1235,female,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,地铁,151747.2,0.0,146,28129.91265,56075,25208.4144767,13651.5368487,500,0,1235,16.625670475499998,2,16625.6704755,20.462363662153845,0.5541890158499999,1.0011459653303174,5.0,1.6625670475499998,0.0,3.7529730193002253,0.0,3000,12000.0,0.1,90.0,7860.0
1236,male,31~40,Master,Living with Partner,3 ~ 5万元,250.0,公交车,2813718.6,1065.648811,17,19289.51464,56075,16203.0451836,5210.53185016,513,33,1236,0.395464875914,2,395.464875914,0.4867260011249231,0.013182162530466666,0.4079049003227832,3.0,0.0395464875914,0.0,0.08926972368261851,0.0,35000,55000.0,0.3,6090.0,32410.0
1237,female,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,自行车/电动自行车,1540067.1,1323.878719,26,19019.36822,56075,15869.9822596,4830.78632454,435,36,1237,2.42874700439,3,2428.74700439,2.989227082326154,0.08095823347966666,0.48222475092212846,3.0,0.242874700439,0.0,0.5482498881241535,0.0,3000,12000.0,0.1,90.0,7860.0
1238,male,31~40,Bachelor,Living with Partner,3 ~ 5万元,250.0,出租车/网约车,3798649.8,766.3684176,109,5489.415599,96949,4662.4586574,16682.6925284,1600,45,1238,18.9723465867,1,18972.346586699998,23.3505804144,0.63241155289,1.0869208883215293,5.0,1.89723465867,0.0,4.282696746433409,0.0,35000,55000.0,0.3,6090.0,32410.0
1239,male,31~40,Bachelor,Living Alone,7000元 ~ 1万元,53.125,地铁,670226.7,1686.000793,34,17942.4911,93478,14212.4854152,2447.44426599,497,38,1239,0.0197962979772,2,19.7962979772,0.02436467443347692,0.00065987659924,0.39417358768489663,3.0,0.00197962979772,0.0,0.004468690288306998,0.0,3000,12000.0,0.1,90.0,7860.0
1240,male,18~30,Bachelor,Living with Partner,1 ~ 2万元,93.75,自行车/电动自行车,3780711.0,708.4803201,36,15968.94234,93478,13046.7219913,3855.08931649,1003,51,1240,4.73114217646,3,4731.14217646,5.822944217181538,0.15770473921533332,0.5663811317865738,3.0,0.473114217646,0.0,1.0679779179367945,0.0,12000,25000.0,0.2,990.0,13410.0
1241,male,31~40,Master,Living Alone,3 ~ 5万元,250.0,公交车,1406859.3,1065.648811,17,19289.51464,56075,16203.0451836,5210.53185016,513,33,1241,4.2853171671700006,2,4285.31716717,5.274236513440001,0.14284390557233334,0.5500854846553421,3.0,0.4285317167170001,0.0,0.9673402183227993,0.0,35000,55000.0,0.3,6090.0,32410.0
